id,name,active,model_id,created_at,updated_at
1000,300,t,519,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1001,430,t,519,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1002,MC Stradale,t,542,2017-05-02 14:09:24+02,2017-05-02 14:09:24+02
1009,A45,t,576,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1014,B63,t,578,2017-05-02 14:09:24+02,2017-05-16 15:55:00.836+02
1027,C43,t,580,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1033,CLA45,t,583,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1034,CLA63,t,583,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1038,CL550,t,581,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1042,CL750,t,581,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1043,CLK200,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1044,CLK230,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1045,CLK240,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1046,CLK280,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1047,CLK300,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1048,CLK320,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1049,CLK350,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
105,"",t,871,2017-05-02 14:09:25+02,2017-05-02 14:09:25+02
1050,CLK430,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1051,CLK500,t,585,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1056,CLS300,t,587,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
1060,CLS550,t,587,2017-05-02 14:09:24+02,2017-05-08 09:00:04+02
121,"",t,184,2017-05-02 14:09:23+02,2018-08-30 18:17:06.23172+02
103,"",t,446,2017-05-02 14:09:26+02,2018-08-30 18:18:31.019412+02
1004,5,t,565,2017-05-02 14:09:24+02,2018-08-30 18:19:02.979754+02
1005,12C,t,572,2017-05-02 14:09:24+02,2018-08-30 18:19:06.000078+02
1006,A150,t,576,2017-05-02 14:09:24+02,2018-08-30 18:19:08.580063+02
1007,A180,t,576,2017-05-02 14:09:24+02,2018-08-30 18:19:09.039632+02
1008,A250,t,576,2017-05-02 14:09:24+02,2018-08-30 18:19:09.441741+02
1010,B150,t,578,2017-05-02 14:09:24+02,2018-08-30 18:19:09.840181+02
1011,B160,t,578,2017-05-02 14:09:24+02,2018-08-30 18:19:10.307008+02
1012,B170,t,578,2017-05-02 14:09:24+02,2018-08-30 18:19:10.719537+02
1013,B200,t,578,2017-05-02 14:09:24+02,2018-08-30 18:19:11.120037+02
1015,C180,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:11.499917+02
1016,C200,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:11.93965+02
1017,C220,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:12.327676+02
1018,C230,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:12.740014+02
1019,C240,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:13.119779+02
1020,C250,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:13.520036+02
1021,C280,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:13.920169+02
1022,C300,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:14.299927+02
1023,C32,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:14.699963+02
1024,C320,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:15.099616+02
1025,C350,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:15.487102+02
1026,C400,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:15.902118+02
1028,C450,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:16.439875+02
1029,C55,t,580,2017-05-02 14:09:24+02,2018-08-30 18:19:16.900114+02
1036,CL500,t,581,2017-05-02 14:09:24+02,2018-08-30 18:19:17.659894+02
1037,CL55,t,581,2017-05-02 14:09:24+02,2018-08-30 18:19:18.060125+02
1039,CL600,t,581,2017-05-02 14:09:24+02,2018-08-30 18:19:18.43975+02
1040,CL63,t,581,2017-05-02 14:09:24+02,2018-08-30 18:19:18.899935+02
1041,CL65,t,581,2017-05-02 14:09:24+02,2018-08-30 18:19:19.299953+02
1031,CLA200,t,583,2017-05-02 14:09:24+02,2018-08-30 18:19:20.561538+02
1032,CLA250,t,583,2017-05-02 14:09:24+02,2018-08-30 18:19:20.960835+02
1035,CLC200,t,584,2017-05-02 14:09:24+02,2018-08-30 18:19:21.339879+02
1052,CLK55,t,585,2017-05-02 14:09:24+02,2018-08-30 18:19:21.88042+02
1053,CLK63,t,585,2017-05-02 14:09:24+02,2018-08-30 18:19:22.80004+02
1054,CLS350,t,587,2017-05-02 14:09:24+02,2018-08-30 18:19:23.619571+02
1055,CLS280,t,587,2017-05-02 14:09:24+02,2018-08-30 18:19:24.019951+02
1057,CLS400,t,587,2017-05-02 14:09:24+02,2018-08-30 18:19:24.420164+02
1058,CLS500,t,587,2017-05-02 14:09:24+02,2018-08-30 18:19:24.879834+02
1059,CLS55,t,587,2017-05-02 14:09:24+02,2018-08-30 18:19:25.299958+02
1061,CLS63,t,587,2017-05-02 14:09:24+02,2018-08-30 18:19:25.680061+02
